id,user,brewery,name,abv,rating,style,country,drink_country,drink_city,drink_datetime,"notes",creation_datetime,last_updated,country_iso,brew_with,brew_year,tags
14721,1,Texels,Wit,5,4.3,Belgian White,Netherlands,Netherlands,Amsterdam,2010-07-01,"I think I had this again when I was in London with Bjorn - I guess I'll just go with this for right now",15:54.5,15:54.5,nl,,,
14722,1,Vedett,Extra Blond,5,3.4,Pale Lager,Netherlands,Netherlands,Amsterdam,2010-07-01,"Rating change 3/2013 from 8.8",15:54.5,15:54.5,nl,,,
14723,1,Kronenbourg,Sélection des Brasseurs,5,3.7,Pale Lager,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14724,1,Blue Moon,Summer Honey Wheat,5.2,3.5,Wheat Ale,USA,USA,Ithaca,2010-08-01,"",15:54.5,15:54.5,us,,,honey;orange
14725,1,Erdinger,Weissbier,5.3,4.1,Hefeweizen,Germany,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,de,,,
14726,1,Timmermans,Cherise (Kriek),4.5,3,Lambic,Belgium,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,be,,,cherry
14727,1,Efes,,5,3.9,Pale Lager,Turkey,Kazakhstan,Almaty,2010-08-01,"",15:54.5,15:54.5,tr,,,
14728,1,Carlsberg,Bottle,3.8,3.9,Pale Lager,Denmark,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,dk,,,
14729,1,Kronenbourg,Wel Scotch,6.2,3.8,Smoked,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14730,1,Delirium,Noël,10,1.3,Belgian Strong Ale,Belgium,France,Strasbourg,2010-08-01,"Original tasting was 7.9, but in 2/2012 switch to 5.4.  May be was a bad bottle, but everyone in the room agreed.",15:54.5,15:54.5,be,,,
14731,1,Smuttynose,Star Island Single,5.6,3.6,Belgian Ale,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14732,1,Kronenbourg,Bottle,4.2,3.6,Pale Lager,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14733,1,Taiwan,,4.5,1.9,Pale Lager,Taiwan,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,tw,,,
14734,1,Greene King,Old Speckled Hen,5.2,3.4,Premium Bitter,England,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,gb,,,
14735,1,Grimbergen,Blond,6.7,3.4,Belgian Ale,Belgium,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,be,,,
14736,1,Mac's,Gold,4,3.4,Pale Lager,New Zealand,England,London,2012-01-01,"",15:54.5,15:54.5,nz,,,
14737,1,Badger,Golden Glory,5,3.3,Golden Ale,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
